Yield,Fat,Protein,Conductivity,Lactose,Scc,Blood,Result
40560,3.89,2.72,9.8,4.7,149492,0.0,1.0
42815,3.59,3.2,9.0,4.61,21820976,0.01,0.0
50731,3.58,2.9,8.8,4.61,19660005,0.01,0.0
41348,3.92,2.9,10.6,4.67,1377249,0.02,0.0
20695,3.76,2.96,5.3,4.7,336523,0.0,1.0
40636,3.92,2.97,8.9,4.78,54832728,0.0,0.0
38548,3.65,2.98,10.1,4.87,1077036,0.0,1.0
45571,4.67,3.25,11.0,4.56,2508791,0.04,0.0
34479,4.36,3.34,10.9,4.41,25098583,0.05,0.0
45755,4.79,3.24,10.5,4.48,25401579,0.04,0.0
30529,3.51,3.25,11.1,4.35,2014603,0.03,0.0
46401,4.21,3.35,9.7,4.52,2863510,0.03,0.0
45279,4.07,2.77,9.6,4.7,481518,0.0,1.0
40143,3.88,2.77,9.4,4.85,880271,0.0,1.0
51916,3.05,2.14,9.5,3.43,3325566,0.0,0.0
45880,4.15,2.91,9.3,4.69,53346962,0.0,0.0
50648,3.59,3.05,9.5,4.83,1429446,0.0,1.0
49177,3.27,3.05,9.3,4.49,8390119,0.01,0.0
41602,4.01,2.9,8.8,4.49,22268335,0.01,0.0
50028,3.36,3.02,9.9,4.55,77786736,0.02,1.0
36198,3.83,3.15,9.3,4.7,1912248,0.01,1.0
39359,4.11,3.07,8.9,4.65,2667906,0.01,0.0
13997,3.59,3.26,3.1,4.38,9162,0.02,1.0
37823,3.55,2.94,9.1,4.81,7541505,0.13,1.0
47882,4.2,2.97,9.8,4.56,1948093,0.03,0.0
47755,3.61,3.17,9.6,4.53,6067379,0.01,0.0
40694,3.84,3.22,8.9,4.52,999163,0.01,0.0
32353,4.18,3.38,5.8,4.57,666470,0.01,0.0
40759,4.28,3.18,8.7,4.71,2353796,0.01,0.0
37392,4.06,3.26,9.2,4.69,1366105,0.01,1.0
50081,4.1,2.97,9.0,4.86,1049376,0.02,0.0
22205,5.01,3.01,6.3,4.62,1349042,0.01,0.0
49253,4.51,3.14,8.1,4.63,21941377,0.02,0.0
46194,4.46,3.06,8.0,4.68,4255112,0.02,0.0
33306,3.84,2.85,6.5,4.66,1702408,0.0,0.0
38292,4.03,3.09,8.3,4.74,8237919,0.0,1.0
35293,3.83,3.27,8.5,4.69,1465491,0.01,1.0
50780,3.98,2.93,10.8,4.19,675111,0.05,1.0
36104,3.52,2.78,8.7,4.92,15271808,0.0,0.0
44482,3.47,2.99,9.0,4.8,7193867,0.0,1.0
47958,3.98,3.18,9.0,4.41,33308813,0.02,1.0
38068,4.14,3.14,7.6,4.81,1909953,0.0,0.0
40772,4.23,3.17,8.2,4.87,1175514,0.01,0.0
40002,3.91,3.24,7.8,4.82,139918,0.03,0.0
29727,4.06,3.33,8.8,4.58,888625,0.03,1.0
41435,2.97,1.83,8.7,3.26,301987,0.34,1.0
66098,3.15,3.32,9.1,3.97,33400033,0.09,0.0
39596,4.25,3.29,8.5,4.23,61318846,0.08,0.0
40891,4.09,3.4,8.9,4.36,141906954,0.06,1.0
41842,3.49,3.13,9.4,4.48,21231354,0.04,1.0
47835,3.91,3.34,9.0,4.62,1794580,0.02,0.0
34965,4.06,3.45,9.3,4.57,16705508,0.02,0.0
35518,3.16,2.98,9.2,4.72,850120,0.0,1.0
50164,3.53,3.02,8.6,4.67,257185,0.01,0.0
40942,3.42,3.22,8.6,4.76,385562,0.0,0.0
37592,4.15,3.37,9.2,4.82,639607,0.01,0.0
39565,4.29,3.27,9.0,4.85,703534,0.0,0.0
47598,3.88,3.12,9.7,4.69,10210481,0.02,1.0
39951,4.66,3.33,8.7,4.55,852597,0.06,1.0
61364,3.24,2.93,9.4,4.58,5382993,0.03,0.0
42900,4.15,2.99,11.4,4.61,5032480,0.04,1.0
35575,3.54,3.24,10.0,4.53,9922715,0.02,0.0
38901,4.26,3.11,8.6,4.77,1908947,0.01,0.0
24532,3.79,3.07,5.8,4.78,2138968,0.0,0.0
43980,3.9,2.74,8.7,4.86,184835050,0.0,0.0
44607,2.7,1.84,8.5,3.15,796952,0.0,1.0
42150,3.81,2.93,9.3,4.74,27939028,0.0,0.0
37800,4.23,2.9,8.7,4.72,1623131,0.0,0.0
37124,4.26,2.92,9.0,4.69,2834008,0.0,1.0
